seq_type	feature	class	product_accession	name	symbol	locus_tag	symbol_old	locus_tag_old	symbol_renamed	locus_tag_a	final_gene_name
chromosome	CDS	with_protein	WHS54452.1	hypothetical protein		QLH64-00285		QLH64_00285	FALSE	QLH64-00285	QLH64-00285
chromosome	CDS	with_protein	WHS57094.1	DUF6124 family protein		QLH64-00290		QLH64_00290	FALSE	QLH64-00290	QLH64-00290
chromosome	CDS	with_protein	WHS54453.1	hemagglutinin repeat-containing protein		QLH64-00295		QLH64_00295	FALSE	QLH64-00295	QLH64-00295
chromosome	CDS	with_protein	WHS54454.1	DUF1911 domain-containing protein		QLH64-00300		QLH64_00300	FALSE	QLH64-00300	QLH64-00300
chromosome	CDS	with_protein	WHS54455.1	hypothetical protein		QLH64-00305		QLH64_00305	FALSE	QLH64-00305	QLH64-00305
chromosome	CDS	with_protein	WHS54456.1	DUF695 domain-containing protein		QLH64-00310		QLH64_00310	FALSE	QLH64-00310	QLH64-00310
chromosome	CDS	with_protein	WHS54457.1	SEL1-like repeat protein		QLH64-00315		QLH64_00315	FALSE	QLH64-00315	QLH64-00315
chromosome	CDS	with_protein	WHS54458.1	hypothetical protein		QLH64-00320		QLH64_00320	FALSE	QLH64-00320	QLH64-00320
chromosome	CDS	with_protein	WHS54459.1	hypothetical protein		QLH64-00325		QLH64_00325	FALSE	QLH64-00325	QLH64-00325
chromosome	CDS	with_protein	WHS54460.1	barstar family protein		QLH64-00330		QLH64_00330	FALSE	QLH64-00330	QLH64-00330
chromosome	CDS	with_protein	WHS57095.1	hypothetical protein		QLH64-00335		QLH64_00335	FALSE	QLH64-00335	QLH64-00335
chromosome	CDS	with_protein	WHS54461.1	hypothetical protein		QLH64-00340		QLH64_00340	FALSE	QLH64-00340	QLH64-00340
chromosome	CDS	with_protein	WHS54462.1	hypothetical protein		QLH64-00345		QLH64_00345	FALSE	QLH64-00345	QLH64-00345
chromosome	CDS	with_protein	WHS54463.1	DUF600 family protein		QLH64-00350		QLH64_00350	FALSE	QLH64-00350	QLH64-00350
chromosome	CDS	with_protein	WHS54464.1	CdiA family toxin C-terminal domain-containing protein		QLH64-00355		QLH64_00355	FALSE	QLH64-00355	QLH64-00355
chromosome	CDS	with_protein	WHS54465.1	hypothetical protein		QLH64-00360		QLH64_00360	FALSE	QLH64-00360	QLH64-00360
chromosome	CDS	with_protein	WHS54466.1	hypothetical protein		QLH64-00365		QLH64_00365	FALSE	QLH64-00365	QLH64-00365
chromosome	CDS	with_protein	WHS54467.1	leucine-rich repeat domain-containing protein		QLH64-00370		QLH64_00370	FALSE	QLH64-00370	QLH64-00370
chromosome	CDS	with_protein	WHS54468.1	oxidoreductase		QLH64-00375		QLH64_00375	FALSE	QLH64-00375	QLH64-00375
chromosome	CDS	with_protein	WHS54469.1	AraC family transcriptional regulator		QLH64-00380		QLH64_00380	FALSE	QLH64-00380	QLH64-00380
chromosome	CDS	with_protein	WHS54470.1	2-isopropylmalate synthase	leuA_1	QLH64-00385	leuA	QLH64_00385	TRUE	QLH64-00385	leuA_1
chromosome	CDS	with_protein	WHS54471.1	helix-turn-helix transcriptional regulator		QLH64-00390		QLH64_00390	FALSE	QLH64-00390	QLH64-00390
chromosome	CDS	with_protein	WHS54472.1	TolC family protein		QLH64-00395		QLH64_00395	FALSE	QLH64-00395	QLH64-00395
chromosome	CDS	with_protein	WHS54473.1	HlyD family secretion protein		QLH64-00400		QLH64_00400	FALSE	QLH64-00400	QLH64-00400
chromosome	CDS	with_protein	WHS54474.1	MDR family MFS transporter		QLH64-00405		QLH64_00405	FALSE	QLH64-00405	QLH64-00405
chromosome	CDS	with_protein	WHS54475.1	DUF3050 domain-containing protein		QLH64-00410		QLH64_00410	FALSE	QLH64-00410	QLH64-00410
chromosome	CDS	with_protein	WHS54476.1	DUF4437 domain-containing protein		QLH64-00415		QLH64_00415	FALSE	QLH64-00415	QLH64-00415
chromosome	CDS	with_protein	WHS54477.1	diiron oxygenase		QLH64-00420		QLH64_00420	FALSE	QLH64-00420	QLH64-00420
chromosome	CDS	with_protein	WHS54478.1	amino acid adenylation domain-containing protein		QLH64-00425		QLH64_00425	FALSE	QLH64-00425	QLH64-00425
chromosome	CDS	with_protein	WHS54479.1	SRPBCC family protein		QLH64-00430		QLH64_00430	FALSE	QLH64-00430	QLH64-00430
chromosome	CDS	with_protein	WHS54480.1	GlxA family transcriptional regulator		QLH64-00435		QLH64_00435	FALSE	QLH64-00435	QLH64-00435
chromosome	CDS	with_protein	WHS54481.1	ABC transporter substrate-binding protein		QLH64-00440		QLH64_00440	FALSE	QLH64-00440	QLH64-00440
chromosome	CDS	with_protein	WHS54482.1	amino acid ABC transporter ATP-binding protein		QLH64-00445		QLH64_00445	FALSE	QLH64-00445	QLH64-00445
chromosome	CDS	with_protein	WHS54483.1	amino acid ABC transporter permease		QLH64-00450		QLH64_00450	FALSE	QLH64-00450	QLH64-00450
chromosome	CDS	with_protein	WHS54484.1	amino acid ABC transporter permease		QLH64-00455		QLH64_00455	FALSE	QLH64-00455	QLH64-00455
chromosome	CDS	with_protein	WHS54485.1	amidase		QLH64-00460		QLH64_00460	FALSE	QLH64-00460	QLH64-00460
chromosome	CDS	with_protein	WHS54486.1	D-amino acid dehydrogenase		QLH64-00465		QLH64_00465	FALSE	QLH64-00465	QLH64-00465
chromosome	CDS	with_protein	WHS54487.1	RidA family protein		QLH64-00470		QLH64_00470	FALSE	QLH64-00470	QLH64-00470
chromosome	CDS	with_protein	WHS54488.1	helix-turn-helix domain-containing protein		QLH64-00475		QLH64_00475	FALSE	QLH64-00475	QLH64-00475
chromosome	CDS	with_protein	WHS54489.1	hypothetical protein		QLH64-00480		QLH64_00480	FALSE	QLH64-00480	QLH64-00480
chromosome	CDS	with_protein	WHS54490.1	hypothetical protein		QLH64-00485		QLH64_00485	FALSE	QLH64-00485	QLH64-00485
chromosome	CDS	with_protein	WHS54491.1	alpha/beta hydrolase		QLH64-00490		QLH64_00490	FALSE	QLH64-00490	QLH64-00490
chromosome	CDS	with_protein	WHS54492.1	hypothetical protein		QLH64-00495		QLH64_00495	FALSE	QLH64-00495	QLH64-00495
chromosome	CDS	with_protein	WHS54493.1	hypothetical protein		QLH64-00500		QLH64_00500	FALSE	QLH64-00500	QLH64-00500
chromosome	CDS	with_protein	WHS54494.1	DUF4041 domain-containing protein		QLH64-00505		QLH64_00505	FALSE	QLH64-00505	QLH64-00505
chromosome	tmRNA			transfer-messenger RNA	ssrA	QLH64-00510	ssrA	QLH64_00510	FALSE	QLH64-00510	ssrA
chromosome	CDS	with_protein	WHS54495.1	hypothetical protein		QLH64-00515		QLH64_00515	FALSE	QLH64-00515	QLH64-00515
chromosome	CDS	with_protein	WHS54496.1	FAD-binding and (Fe-S)-binding domain-containing protein		QLH64-00520		QLH64_00520	FALSE	QLH64-00520	QLH64-00520
chromosome	CDS	with_protein	WHS54497.1	lactate utilization protein		QLH64-00525		QLH64_00525	FALSE	QLH64-00525	QLH64-00525
chromosome	CDS	with_protein	WHS54498.1	LutB/LldF family L-lactate oxidation iron-sulfur protein		QLH64-00530		QLH64_00530	FALSE	QLH64-00530	QLH64-00530
chromosome	CDS	with_protein	WHS54499.1	(Fe-S)-binding protein		QLH64-00535		QLH64_00535	FALSE	QLH64-00535	QLH64-00535
chromosome	CDS	with_protein	WHS54500.1	lactate permease LctP family transporter		QLH64-00540		QLH64_00540	FALSE	QLH64-00540	QLH64-00540
chromosome	CDS	with_protein	WHS54501.1	FCD domain-containing protein		QLH64-00545		QLH64_00545	FALSE	QLH64-00545	QLH64-00545
chromosome	CDS	with_protein	WHS54502.1	SsrA-binding protein SmpB	smpB	QLH64-00550	smpB	QLH64_00550	FALSE	QLH64-00550	smpB
chromosome	CDS	with_protein	WHS54503.1	sodium-dependent transporter		QLH64-00555		QLH64_00555	FALSE	QLH64-00555	QLH64-00555
chromosome	CDS	with_protein	WHS54504.1	type II toxin-antitoxin system RatA family toxin		QLH64-00560		QLH64_00560	FALSE	QLH64-00560	QLH64-00560
chromosome	CDS	with_protein	WHS54505.1	RnfH family protein		QLH64-00565		QLH64_00565	FALSE	QLH64-00565	QLH64-00565
chromosome	CDS	with_protein	WHS54506.1	outer membrane protein assembly factor BamE		QLH64-00570		QLH64_00570	FALSE	QLH64-00570	QLH64-00570
chromosome	CDS	with_protein	WHS54507.1	ferric iron uptake transcriptional regulator	fur	QLH64-00575	fur	QLH64_00575	FALSE	QLH64-00575	fur
chromosome	CDS	with_protein	WHS54508.1	DNA repair protein RecN	recN	QLH64-00580	recN	QLH64_00580	FALSE	QLH64-00580	recN
chromosome	CDS	with_protein	WHS54509.1	nucleotide exchange factor GrpE	grpE	QLH64-00585	grpE	QLH64_00585	FALSE	QLH64-00585	grpE
chromosome	CDS	with_protein	WHS54510.1	molecular chaperone DnaK	dnaK	QLH64-00590	dnaK	QLH64_00590	FALSE	QLH64-00590	dnaK
chromosome	CDS	with_protein	WHS54511.1	molecular chaperone DnaJ	dnaJ	QLH64-00595	dnaJ	QLH64_00595	FALSE	QLH64-00595	dnaJ
chromosome	CDS	with_protein	WHS54512.1	4-hydroxy-tetrahydrodipicolinate reductase	dapB	QLH64-00600	dapB	QLH64_00600	FALSE	QLH64-00600	dapB
chromosome	CDS	with_protein	WHS54513.1	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA	QLH64-00605	carA	QLH64_00605	FALSE	QLH64-00605	carA
chromosome	CDS	with_protein	WHS54514.1	carbamoyl-phosphate synthase large subunit	carB	QLH64-00610	carB	QLH64_00610	FALSE	QLH64-00610	carB
chromosome	CDS	with_protein	WHS57096.1	transcription elongation factor GreA	greA	QLH64-00615	greA	QLH64_00615	FALSE	QLH64-00615	greA
chromosome	CDS	with_protein	WHS54515.1	MFS transporter		QLH64-00620		QLH64_00620	FALSE	QLH64-00620	QLH64-00620
chromosome	CDS	with_protein	WHS54516.1	YhbY family RNA-binding protein		QLH64-00625		QLH64_00625	FALSE	QLH64-00625	QLH64-00625
chromosome	CDS	with_protein	WHS54517.1	23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE	rlmE	QLH64-00630	rlmE	QLH64_00630	FALSE	QLH64-00630	rlmE
chromosome	CDS	with_protein	WHS54518.1	ATP-dependent zinc metalloprotease FtsH	ftsH_1	QLH64-00635	ftsH	QLH64_00635	TRUE	QLH64-00635	ftsH_1
chromosome	CDS	with_protein	WHS54519.1	dihydropteroate synthase	folP	QLH64-00640	folP	QLH64_00640	FALSE	QLH64-00640	folP
chromosome	CDS	with_protein	WHS54520.1	phosphoglucosamine mutase	glmM	QLH64-00645	glmM	QLH64_00645	FALSE	QLH64-00645	glmM
chromosome	CDS	with_protein	WHS54521.1	triose-phosphate isomerase	tpiA	QLH64-00650	tpiA	QLH64_00650	FALSE	QLH64-00650	tpiA
chromosome	CDS	with_protein	WHS57097.1	preprotein translocase subunit SecG	secG	QLH64-00655	secG	QLH64_00655	FALSE	QLH64-00655	secG
chromosome	tRNA			tRNA-Leu		QLH64-00660		QLH64_00660	FALSE	QLH64-00660	QLH64-00660
chromosome	tRNA			tRNA-Met		QLH64-00665		QLH64_00665	FALSE	QLH64-00665	QLH64-00665
chromosome	CDS	with_protein	WHS54522.1	ribosome maturation factor RimP	rimP	QLH64-00670	rimP	QLH64_00670	FALSE	QLH64-00670	rimP
chromosome	CDS	with_protein	WHS54523.1	transcription termination factor NusA	nusA	QLH64-00675	nusA	QLH64_00675	FALSE	QLH64-00675	nusA
chromosome	CDS	with_protein	WHS54524.1	translation initiation factor IF-2	infB	QLH64-00680	infB	QLH64_00680	FALSE	QLH64-00680	infB
chromosome	CDS	with_protein	WHS54525.1	30S ribosome-binding factor RbfA	rbfA	QLH64-00685	rbfA	QLH64_00685	FALSE	QLH64-00685	rbfA
chromosome	CDS	with_protein	WHS54526.1	tRNA pseudouridine(55) synthase TruB	truB	QLH64-00690	truB	QLH64_00690	FALSE	QLH64-00690	truB
chromosome	CDS	with_protein	WHS54527.1	30S ribosomal protein S15	rpsO	QLH64-00695	rpsO	QLH64_00695	FALSE	QLH64-00695	rpsO
chromosome	CDS	with_protein	WHS54528.1	polyribonucleotide nucleotidyltransferase	pnp	QLH64-00700	pnp	QLH64_00700	FALSE	QLH64-00700	pnp
chromosome	tRNA			tRNA-Thr		QLH64-00705		QLH64_00705	FALSE	QLH64-00705	QLH64-00705
chromosome	CDS	with_protein	WHS54529.1	hypothetical protein		QLH64-00710		QLH64_00710	FALSE	QLH64-00710	QLH64-00710
chromosome	CDS	with_protein	WHS54530.1	DUF6388 family protein		QLH64-00715		QLH64_00715	FALSE	QLH64-00715	QLH64-00715
chromosome	CDS	with_protein	WHS54531.1	carboxylating nicotinate-nucleotide diphosphorylase	nadC	QLH64-00720	nadC	QLH64_00720	FALSE	QLH64-00720	nadC
chromosome	CDS	with_protein	WHS54532.1	DUF1631 domain-containing protein		QLH64-00725		QLH64_00725	FALSE	QLH64-00725	QLH64-00725
chromosome	CDS	with_protein	WHS54533.1	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	ampD	QLH64-00730	ampD	QLH64_00730	FALSE	QLH64-00730	ampD
chromosome	CDS	with_protein	WHS54534.1	regulatory signaling modulator protein AmpE	ampE	QLH64-00735	ampE	QLH64_00735	FALSE	QLH64-00735	ampE
chromosome	CDS	with_protein	WHS54535.1	methyl-accepting chemotaxis protein		QLH64-00740		QLH64_00740	FALSE	QLH64-00740	QLH64-00740
chromosome	CDS	with_protein	WHS54536.1	TatD family hydrolase		QLH64-00745		QLH64_00745	FALSE	QLH64-00745	QLH64-00745
chromosome	CDS	with_protein	WHS54537.1	catabolite repressor/activator	cra	QLH64-00750	cra	QLH64_00750	FALSE	QLH64-00750	cra
chromosome	CDS	with_protein	WHS54538.1	phosphoenolpyruvate--protein phosphotransferase	ptsP_1	QLH64-00755	ptsP	QLH64_00755	TRUE	QLH64-00755	ptsP_1
chromosome	CDS	with_protein	WHS54539.1	1-phosphofructokinase	pfkB	QLH64-00760	pfkB	QLH64_00760	FALSE	QLH64-00760	pfkB
chromosome	CDS	with_protein	WHS54540.1	PTS fructose-like transporter subunit IIB		QLH64-00765		QLH64_00765	FALSE	QLH64-00765	QLH64-00765
chromosome	CDS	with_protein	WHS54541.1	alkaline phosphatase D family protein		QLH64-00770		QLH64_00770	FALSE	QLH64-00770	QLH64-00770
chromosome	CDS	with_protein	WHS57098.1	sulfite reductase flavoprotein subunit alpha		QLH64-00775		QLH64_00775	FALSE	QLH64-00775	QLH64-00775
chromosome	CDS	with_protein	WHS54542.1	type III PLP-dependent enzyme		QLH64-00780		QLH64_00780	FALSE	QLH64-00780	QLH64-00780
chromosome	CDS	with_protein	WHS54543.1	ABC transporter ATP-binding protein		QLH64-00785		QLH64_00785	FALSE	QLH64-00785	QLH64-00785
chromosome	CDS	with_protein	WHS54544.1	ABC transporter permease		QLH64-00790		QLH64_00790	FALSE	QLH64-00790	QLH64-00790
chromosome	CDS	with_protein	WHS54545.1	glycine betaine ABC transporter substrate-binding protein		QLH64-00795		QLH64_00795	FALSE	QLH64-00795	QLH64-00795
chromosome	CDS	with_protein	WHS54546.1	ABC transporter permease		QLH64-00800		QLH64_00800	FALSE	QLH64-00800	QLH64-00800
chromosome	CDS	with_protein	WHS54547.1	peptide chain release factor 3		QLH64-00805		QLH64_00805	FALSE	QLH64-00805	QLH64-00805
chromosome	CDS	with_protein	WHS54548.1	hypothetical protein		QLH64-00810		QLH64_00810	FALSE	QLH64-00810	QLH64-00810
chromosome	CDS	with_protein	WHS54549.1	peptide ABC transporter ATP-binding protein		QLH64-00815		QLH64_00815	FALSE	QLH64-00815	QLH64-00815
chromosome	CDS	with_protein	WHS54550.1	ABC transporter ATP-binding protein		QLH64-00820		QLH64_00820	FALSE	QLH64-00820	QLH64-00820
chromosome	CDS	with_protein	WHS54551.1	ABC transporter permease subunit		QLH64-00825		QLH64_00825	FALSE	QLH64-00825	QLH64-00825
chromosome	CDS	with_protein	WHS54552.1	ABC transporter permease subunit		QLH64-00830		QLH64_00830	FALSE	QLH64-00830	QLH64-00830
chromosome	CDS	with_protein	WHS54553.1	ABC transporter substrate-binding protein		QLH64-00835		QLH64_00835	FALSE	QLH64-00835	QLH64-00835
chromosome	CDS	with_protein	WHS54554.1	OprD family porin		QLH64-00840		QLH64_00840	FALSE	QLH64-00840	QLH64-00840
chromosome	CDS	with_protein	WHS54555.1	ABC transporter substrate-binding protein		QLH64-00845		QLH64_00845	FALSE	QLH64-00845	QLH64-00845
chromosome	CDS	with_protein	WHS54556.1	ABC transporter substrate-binding protein		QLH64-00850		QLH64_00850	FALSE	QLH64-00850	QLH64-00850
chromosome	CDS	with_protein	WHS54557.1	hypothetical protein		QLH64-00855		QLH64_00855	FALSE	QLH64-00855	QLH64-00855
chromosome	CDS	with_protein	WHS54558.1	hypothetical protein		QLH64-00860		QLH64_00860	FALSE	QLH64-00860	QLH64-00860
chromosome	CDS	with_protein	WHS57099.1	helix-turn-helix domain-containing protein		QLH64-00865		QLH64_00865	FALSE	QLH64-00865	QLH64-00865
chromosome	CDS	with_protein	WHS57100.1	IS3 family transposase		QLH64-00870		QLH64_00870	FALSE	QLH64-00870	QLH64-00870
chromosome	CDS	with_protein	WHS54559.1	DUF6124 family protein		QLH64-00875		QLH64_00875	FALSE	QLH64-00875	QLH64-00875
chromosome	CDS	with_protein	WHS54560.1	hypothetical protein		QLH64-00880		QLH64_00880	FALSE	QLH64-00880	QLH64-00880
chromosome	CDS	with_protein	WHS54561.1	hypothetical protein		QLH64-00885		QLH64_00885	FALSE	QLH64-00885	QLH64-00885
chromosome	CDS	with_protein	WHS54562.1	SIMPL domain-containing protein		QLH64-00890		QLH64_00890	FALSE	QLH64-00890	QLH64-00890
chromosome	CDS	with_protein	WHS54563.1	ATP-binding protein		QLH64-00895		QLH64_00895	FALSE	QLH64-00895	QLH64-00895
chromosome	CDS	with_protein	WHS54564.1	response regulator transcription factor		QLH64-00900		QLH64_00900	FALSE	QLH64-00900	QLH64-00900
chromosome	CDS	with_protein	WHS54565.1	ABC transporter ATP-binding protein/permease		QLH64-00905		QLH64_00905	FALSE	QLH64-00905	QLH64-00905
chromosome	CDS	with_protein	WHS54566.1	FadR/GntR family transcriptional regulator		QLH64-00910		QLH64_00910	FALSE	QLH64-00910	QLH64-00910
chromosome	CDS	with_protein	WHS54567.1	hypothetical protein		QLH64-00915		QLH64_00915	FALSE	QLH64-00915	QLH64-00915
chromosome	CDS	with_protein	WHS54568.1	5-dehydro-4-deoxyglucarate dehydratase	kdgD	QLH64-00920	kdgD	QLH64_00920	FALSE	QLH64-00920	kdgD
chromosome	CDS	with_protein	WHS54569.1	aldehyde dehydrogenase family protein		QLH64-00925		QLH64_00925	FALSE	QLH64-00925	QLH64-00925
chromosome	CDS	with_protein	WHS54570.1	MFS transporter		QLH64-00930		QLH64_00930	FALSE	QLH64-00930	QLH64-00930
chromosome	CDS	with_protein	WHS54571.1	galactarate dehydratase	garD	QLH64-00935	garD	QLH64_00935	FALSE	QLH64-00935	garD
chromosome	CDS	with_protein	WHS54572.1	AEC family transporter		QLH64-00940		QLH64_00940	FALSE	QLH64-00940	QLH64-00940
chromosome	CDS	with_protein	WHS54573.1	DUF4917 family protein		QLH64-00945		QLH64_00945	FALSE	QLH64-00945	QLH64-00945
chromosome	CDS	with_protein	WHS54574.1	carboxymuconolactone decarboxylase family protein		QLH64-00950		QLH64_00950	FALSE	QLH64-00950	QLH64-00950
chromosome	CDS	with_protein	WHS57101.1	calcium/sodium antiporter		QLH64-00955		QLH64_00955	FALSE	QLH64-00955	QLH64-00955
